apt_group,indicator_type,indicator
12,domain,icc.ignorelist.com
12,domain,video.csmcpr.com
12,ipv4,178.128.110.214:8080
12,url,http://128.199.73.43
12,url,http://139.59.101.236
12,url,http://139.59.110.217
12,url,http://139.59.226.29
12,url,http://139.59.230.181
12,url,http://141.108.2.157
12,url,http://159.65.127.93
12,url,http://159.65.74.97
12,url,http://188.226.144.42
12,url,http://59.73.16.165
17,domain,equitaligaiustizia.it
17,domain,meeting.equitaligaiustizia.it
17,domain,news.jusched.net
17,domain,themicrosoftnow.com
17,domain,translate.wordraference.com
18,domain,128.er1620.com
18,domain,223-25-233-248.revdns.8toinfinity.com.sg
18,domain,admin.er1620.com
18,domain,exp0day.com
18,domain,ftp.exp0day.com
18,domain,gmail.bkz88.com
18,domain,good.myftp.org
18,domain,hello.mjw.bz
18,domain,info.imly.org
18,domain,login.3bz.org
18,domain,logo.mjw.bz
18,domain,suck.er1620.com
18,domain,test.3bz.org
18,domain,zip.redirectme.net
18,ipv4,223.25.233.248:8080
18,url,http://137.175.4.132
18,url,http://223.25.233.248
1877TEAM,domain,1877.krd
1877TEAM,domain,1877.team
1877TEAM,domain,4567987654345265.tk
1877TEAM,domain,asadohostma.cf
1877TEAM,domain,asadohostma.tk
1877TEAM,domain,balotelaras.gq
1877TEAM,domain,bjigcdrfbbcx.ml
1877TEAM,domain,bjigcdrfbbcx.tk
1877TEAM,domain,bruthoosbxyxio.gq
1877TEAM,domain,bruthoosbxyxio.tk
1877TEAM,domain,bsidbxiooohzu.ga
1877TEAM,domain,bsidbxiooohzu.gq
1877TEAM,domain,bsidbxiooohzu.ml
1877TEAM,domain,buhgdkurd444.ga
1877TEAM,domain,coalermallwive.ga
1877TEAM,domain,dxfcvhhgfgcv.dnsfailover.net
1877TEAM,domain,facebookmessages.serveuser.com
1877TEAM,domain,facebooktie.faqserv.com
1877TEAM,domain,forever0g.tk
1877TEAM,domain,gartytrgfredsw.sexidude.com
1877TEAM,domain,gatasawatoyo.dumb1.com
1877TEAM,domain,ghiiidueebsxiis.ml
1877TEAM,domain,ghiiidueebsxiis.tk
1877TEAM,domain,hgtgerfdrty.onedumb.com
1877TEAM,domain,hsushzidooonsnx.gq
1877TEAM,domain,htetryfugyioiyut.ml
1877TEAM,domain,hunchifigkf.wikaba.com
1877TEAM,domain,huncho.ml
1877TEAM,domain,hunchooo.zzux.com
1877TEAM,domain,hunchoooof.2waky.com
1877TEAM,domain,incxzsdcuuwqag.serveuser.com
1877TEAM,domain,inlinkedlnmessagesdigiter.serveuser.com
1877TEAM,domain,jagajaga.ga
1877TEAM,domain,jfueytg7yghg.ga
1877TEAM,domain,jhdfgdjkdg.dynamic-dns.net
1877TEAM,domain,jhssales.dynamic-dns.net
1877TEAM,domain,jhuyghft.dynamic-dns.net
1877TEAM,domain,jihugkyfjtdsrytsrd.cf
1877TEAM,domain,jihugkyfjtdsrytsrd.gq
1877TEAM,domain,jnhbvgcfxdzsdzdsxd.dns2.us
1877TEAM,domain,juyhtrdwski.sexidude.com
1877TEAM,domain,kbbkbkuu.dynamic-dns.net
1877TEAM,domain,kjuhygtrfdewsa.onedumb.com
1877TEAM,domain,linkedlndeed.fartit.com
1877TEAM,domain,linkup.pics
1877TEAM,domain,mail.bsabshjlinacafs.serveuser.com
1877TEAM,domain,mail.facebookmessages.serveuser.com
1877TEAM,domain,mail.guyyyeyb.youdontcare.com
1877TEAM,domain,mail.inlinkedlnmessagesdigiter.serveuser.com
1877TEAM,domain,mail.jhdfgdjkdg.dynamic-dns.net
1877TEAM,domain,mail.jhuyghft.dynamic-dns.net
1877TEAM,domain,mail.juyhtrdwski.sexidude.com
1877TEAM,domain,mail.kasawaraswgu.yourtrap.com
1877TEAM,domain,mail.mnfdxcvbn.cleansite.info
1877TEAM,domain,mail.ohssbxxwaqmbccxk.x24hr.com
1877TEAM,domain,mail.oiytiuopiuy.almostmy.com
